task_mode_id,task_id,cell_resource_id,machine_resource_id,duration_15minutes,,,,,
420a319f-219b-448b-a1e5-34b4c92c4309,eac5062e-82b9-4275-849b-e2e4df105dbe,f4152f42-0184-495e-8551-113fe5634e32,c0893f09-85f4-434a-84ce-60b2e06b2162,11,,,,,
239ea9e7-1600-4859-b490-4de3fd7a726e,975471b1-d3a2-4daa-851a-657fb8e87b43,f4152f42-0184-495e-8551-113fe5634e32,c0893f09-85f4-434a-84ce-60b2e06b2162,1,,,,,
73edb1fd-cd6a-4643-b562-f6ea3165b153,9a5f737f-a0ba-48b8-b453-bbacd95659e4,f4152f42-0184-495e-8551-113fe5634e32,c0893f09-85f4-434a-84ce-60b2e06b2162,287,,,,,
86a03f9a-b3a5-4ae7-84ff-465708d846cb,1a4318a7-03cb-4518-95ab-6226af9bbe12,f4152f42-0184-495e-8551-113fe5634e32,c0893f09-85f4-434a-84ce-60b2e06b2162,1,,,,,
f2b13875-c83c-4c29-98c7-c5bc49b130ee,8ee1c724-bf4e-4a06-9213-10ef93a6e70d,f4152f42-0184-495e-8551-113fe5634e32,c0893f09-85f4-434a-84ce-60b2e06b2162,95,,,,,
ca2cf189-93e2-4f6e-a016-3d6055daff7a,99b7970b-e063-4af1-ab7d-47c3c418c25b,f4152f42-0184-495e-8551-113fe5634e32,c0893f09-85f4-434a-84ce-60b2e06b2162,4,,,,,
8924718b-9c9f-4726-a34d-34f29517a1e1,43741849-5824-41d5-82a4-c9083ece16bc,d846700c-57d8-4161-a91e-0c8394133f21,43e43e1d-b1f5-4635-9285-d7fd91bd4a4c,9,,,,,
710fa913-1c1d-4f35-a974-e4b7a86702e9,0027d4bf-5c00-4447-9e89-44417fc0daa1,d846700c-57d8-4161-a91e-0c8394133f21,43e43e1d-b1f5-4635-9285-d7fd91bd4a4c,8,,,,,
5923b3f3-d216-4ea0-98c8-8d69ddc41efc,c04784c2-390d-462b-ac04-ebc9f306659f,d846700c-57d8-4161-a91e-0c8394133f21,43e43e1d-b1f5-4635-9285-d7fd91bd4a4c,8,,,,,
6eff1a76-2d94-425a-90cf-3c6bab32d1ee,90bfee12-0143-4604-a977-f9a5918ad521,d846700c-57d8-4161-a91e-0c8394133f21,43e43e1d-b1f5-4635-9285-d7fd91bd4a4c,16,,,,,
