task_id,sequence_id,department_id,name,is_unattended,is_setup,wip limit,max_batch_size,setup_for_task_id,created_at,updated_at
bce6b5f0-7aa3-43ec-b0c3-2200b9bb476b,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,setup cure 3,FALSE,TRUE,10,1,NULL,,
ce89037a-0210-4131-825f-3b62633538d6,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,cure 3,TRUE,FALSE,10,1,bce6b5f0-7aa3-43ec-b0c3-2200b9bb476b,,
80cd4948-3f31-427a-be35-f06d1420ba2b,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,lcc inspect + epoxy + align,FALSE,FALSE,10,1,NULL,,
accc14d4-e84b-4495-9351-a33f12fd3da4,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,setup cure 4,FALSE,TRUE,10,1,NULL,,
e62f3c0c-520b-436a-b961-cf59350d158a,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,cure 4,TRUE,FALSE,10,1,accc14d4-e84b-4495-9351-a33f12fd3da4,,
331721d2-6709-40b1-8fb9-49e2e50e7de1,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,lcd inspect + epoxy + align,FALSE,FALSE,10,1,NULL,,
d0ca3261-d9f4-40c3-96f8-858655d3e774,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,setup cure 5,FALSE,TRUE,10,1,NULL,,
47d43e6c-5cd6-4883-87ac-4dcffc063465,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,cure 5,TRUE,FALSE,10,1,d0ca3261-d9f4-40c3-96f8-858655d3e774,,
8d09cf09-c28c-452c-9ea7-a58b77e24cc3,NULL,OB,cooling structure,FALSE,FALSE,10,1,NULL,,
92c282b4-b65a-4667-9a94-32eaa75dc989,NULL,OB,cables,FALSE,FALSE,10,1,NULL,,
e91c42d7-1b92-486e-a7d5-57327714d073,NULL,OB,dsw 1,FALSE,FALSE,10,1,NULL,,
c0402ed8-f6d2-4f85-bc46-f677d5d1b05b,NULL,OB,dsw 2,FALSE,FALSE,10,1,NULL,,
b9b9f3ff-463a-47ec-82cf-1c197a50580f,NULL,OB,fhmads,FALSE,FALSE,10,1,NULL,,
7c9814db-10ff-49ed-acd9-824d1a1615fd,6ba7b812-9dad-11d1-80b4-00c04fd430c8,OB,mounting,FALSE,FALSE,10,1,NULL,,
1de4480f-aa60-4088-9c53-2b40764033c1,6ba7b812-9dad-11d1-80b4-00c04fd430c8,OB,splicing 1,FALSE,FALSE,10,1,NULL,,
6a7e94f8-4a95-48cf-b007-f67a5d3a7d86,6ba7b812-9dad-11d1-80b4-00c04fd430c8,OB,splicing 2,FALSE,FALSE,10,1,NULL,,
8d419716-f359-4842-9eb9-883c4a23efda,6ba7b812-9dad-11d1-80b4-00c04fd430c8,OB,leak check,FALSE,FALSE,10,1,NULL,,
a05b59f5-e125-414b-8608-9ff4e1d19a44,6ba7b812-9dad-11d1-80b4-00c04fd430c8,OB,intial alignment,FALSE,FALSE,10,1,NULL,,
86cc335c-8423-42a5-a55f-05634c445344,6ba7b812-9dad-11d1-80b4-00c04fd430c8,OB,pixel test (7 planes),FALSE,FALSE,10,1,NULL,,
60e0ecda-3189-4397-8b73-bae8a9ff5736,6ba7b812-9dad-11d1-80b4-00c04fd430c8,OB,alignment optimization,FALSE,FALSE,10,1,NULL,,
1ba9bc63-0012-4e55-9e3e-d1fe1cac2549,6ba7b812-9dad-11d1-80b4-00c04fd430c8,OB,final pixel test (5 planes),FALSE,FALSE,10,1,NULL,,
6ef19acc-112d-443b-a05d-5a5f0ff79afe,6ba7b812-9dad-11d1-80b4-00c04fd430c8,OB,setup epoxy cure,FALSE,TRUE,10,1,NULL,,
e1e23815-3463-4b3d-965e-75389f65ece7,6ba7b812-9dad-11d1-80b4-00c04fd430c8,OB,epoxy cure,TRUE,FALSE,10,1,6ef19acc-112d-443b-a05d-5a5f0ff79afe,,
f2929520-7ec7-46f3-9acd-997217268f82,6ba7b812-9dad-11d1-80b4-00c04fd430c8,OB,burn in,FALSE,FALSE,10,1,NULL,,
3acbbdb6-ab5d-4f97-b490-3ae47d7688f2,NULL,OB,final assembly,FALSE,FALSE,10,1,NULL,,
